segmento,codigo
capitales,010101
capitales,020101
capitales,020105
capitales,030101
capitales,040101
capitales,050101
capitales,060101
capitales,070101
capitales,080101
capitales,090101
intermedias,010501
intermedias,010702
intermedias,020104
intermedias,020201
intermedias,020601
intermedias,020701
intermedias,020801
intermedias,021104
intermedias,021105
intermedias,021201
intermedias,021202
intermedias,021301
intermedias,021305
intermedias,022001
intermedias,030201
intermedias,030301
intermedias,030801
intermedias,030901
intermedias,030902
intermedias,030903
intermedias,030904
intermedias,030905
intermedias,031001
intermedias,031003
intermedias,031101
intermedias,031204
intermedias,031205
intermedias,031206
intermedias,031301
intermedias,031401
intermedias,031601
intermedias,031602
intermedias,040102
intermedias,040201
intermedias,040701
intermedias,050102
intermedias,050201
intermedias,050203
intermedias,050301
intermedias,050401
intermedias,050402
intermedias,050403
intermedias,050501
intermedias,050601
intermedias,050801
intermedias,051101
intermedias,051201
intermedias,051501
intermedias,060202
intermedias,060301
intermedias,060303
intermedias,060501
intermedias,060601
intermedias,070102
intermedias,070104
intermedias,070105
intermedias,070201
intermedias,070301
intermedias,070402
intermedias,070403
intermedias,070501
intermedias,070502
intermedias,070702
intermedias,070703
intermedias,070706
intermedias,071001
intermedias,071003
intermedias,071104
intermedias,071106
intermedias,071501
intermedias,080201
intermedias,080202
intermedias,080302
intermedias,080501
rurales,010102
rurales,010103
rurales,010201
rurales,010202
rurales,010301
rurales,010302
rurales,010303
rurales,010304
rurales,010401
rurales,010402
rurales,010403
rurales,010404
rurales,010405
rurales,010502
rurales,010601
rurales,010602
rurales,010701
rurales,010703
rurales,010704
rurales,010801
rurales,010901
rurales,010902
rurales,010903
rurales,011001
rurales,011002
rurales,011003
rurales,020102
rurales,020103
rurales,020202
rurales,020203
rurales,020204
rurales,020205
rurales,020206
rurales,020301
rurales,020302
rurales,020303
rurales,020304
rurales,020305
rurales,020306
rurales,020307
rurales,020308
rurales,020401
rurales,020402
rurales,020403
rurales,020404
rurales,020405
rurales,020501
rurales,020502
rurales,020503
rurales,020602
rurales,020603
rurales,020604
rurales,020605
rurales,020606
rurales,020607
rurales,020608
rurales,020702
rurales,020802
rurales,020803
rurales,020804
rurales,020805
rurales,020806
rurales,020807
rurales,020901
rurales,020902
rurales,020903
rurales,020904
rurales,020905
rurales,021001
rurales,021002
rurales,021003
rurales,021004
rurales,021005
rurales,021006
rurales,021101
rurales,021102
rurales,021103
rurales,021203
rurales,021204
rurales,021302
rurales,021303
rurales,021304
rurales,021306
rurales,021307
rurales,021401
rurales,021402
rurales,021501
rurales,021502
rurales,021601
rurales,021602
rurales,021701
rurales,021702
rurales,021703
rurales,021801
rurales,021802
rurales,021803
rurales,021901
rurales,021902
rurales,022002
rurales,030202
rurales,030203
rurales,030302
rurales,030303
rurales,030401
rurales,030402
rurales,030403
rurales,030404
rurales,030501
rurales,030502
rurales,030601
rurales,030602
rurales,030701
rurales,030702
rurales,030703
rurales,030802
rurales,030803
rurales,031002
rurales,031201
rurales,031202
rurales,031203
rurales,031302
rurales,031303
rurales,031402
rurales,031403
rurales,031404
rurales,031405
rurales,031501
rurales,040103
rurales,040104
rurales,040202
rurales,040301
rurales,040302
rurales,040401
rurales,040402
rurales,040501
rurales,040502
rurales,040503
rurales,040504
rurales,040505
rurales,040601
rurales,040602
rurales,040603
rurales,040702
rurales,040801
rurales,040802
rurales,040901
rurales,040902
rurales,040903
rurales,041001
rurales,041101
rurales,041201
rurales,041202
rurales,041301
rurales,041401
rurales,041501
rurales,041502
rurales,041503
rurales,041601
rurales,050103
rurales,050104
rurales,050202
rurales,050204
rurales,050302
rurales,050303
rurales,050404
rurales,050502
rurales,050602
rurales,050701
rurales,050702
rurales,050802
rurales,050901
rurales,050902
rurales,051001
rurales,051002
rurales,051003
rurales,051102
rurales,051103
rurales,051202
rurales,051203
rurales,051301
rurales,051302
rurales,051401
rurales,051402
rurales,051601
rurales,060201
rurales,060302
rurales,060401
rurales,060402
rurales,060502
rurales,070103
rurales,070202
rurales,070302
rurales,070303
rurales,070401
rurales,070404
rurales,070503
rurales,070601
rurales,070602
rurales,070603
rurales,070701
rurales,070704
rurales,070705
rurales,070707
rurales,070801
rurales,070802
rurales,070803
rurales,070804
rurales,070805
rurales,070901
rurales,070902
rurales,070903
rurales,070904
rurales,071002
rurales,071004
rurales,071005
rurales,071101
rurales,071102
rurales,071103
rurales,071105
rurales,071201
rurales,071301
rurales,071302
rurales,071401
rurales,071402
rurales,071403
rurales,071502
rurales,071503
rurales,080102
rurales,080301
rurales,080303
rurales,080304
rurales,080401
rurales,080402
rurales,080601
rurales,080602
rurales,080701
rurales,080702
rurales,080703
rurales,080801
rurales,080802
rurales,080803
rurales,090102
rurales,090103
rurales,090104
rurales,090201
rurales,090202
rurales,090203
rurales,090301
rurales,090302
rurales,090303
rurales,090401
rurales,090402
rurales,090501
rurales,090502
rurales,090503
