segmento,abril_15,n,prop,base,semana
Ciudades intermedias,A corto plazo habrá desabastecimiento,31,32,abril_15,Semana 3
Ciudades intermedias,A largo plazo habrá desabastecimiento,43,45,abril_15,Semana 3
Ciudades intermedias,No habrá desabastecimiento,22,23,abril_15,Semana 3
Municipios capitales y El Alto,A corto plazo habrá desabastecimiento,166,21,abril_15,Semana 3
Municipios capitales y El Alto,A largo plazo habrá desabastecimiento,352,45,abril_15,Semana 3
Municipios capitales y El Alto,No habrá desabastecimiento,267,34,abril_15,Semana 3
Municipios rurales,A corto plazo habrá desabastecimiento,19,43,abril_15,Semana 3
Municipios rurales,A largo plazo habrá desabastecimiento,17,39,abril_15,Semana 3
Municipios rurales,No habrá desabastecimiento,8,18,abril_15,Semana 3
